Product_id,Stall_no,instock_date,Market_Category,Customer_name,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price
BRAE2NF6JA5GUEXG,37.0,2015-08-22 18:36:12.000,2,Lillyann,Yes,Fashion,1,68,0,376.0,11,2983.0,4713.0,4185.9477
TUNE8SFB6RJN2HSD,38.0,2016-03-27 21:19:13.000,24,Klynn,Yes,Fashion,0,51,0,397.0,12,7495.0,10352.0,9271.490256
BRAEAR7WZPQGPBZU,9.0,2015-08-18 19:25:22.000,447,Ridge,Yes,Child_care,0,10,0,250.0,9,5752.0,7309.0,6785.701362
WATDZ2ZQ8JPDHCTJ,50.0,2016-03-28 21:53:01.000,23,Abran,Yes,Educational,2,48,0,144.0,13,5090.0,20814.0,13028.917824
JWSEBUKYQPMBZ3RK,7.0,2016-03-29 22:58:53.000,63,Dustyn,Yes,Repair,1,35,1,211.0,4,2430.0,9261.0,906.553935
SHIECAYW3VZWGZGX,23.0,2015-09-25 16:31:46.000,162,Brilee,No ,Technology,1,49,0,633.0,6,3959.0,6104.0,5631.247872
SHOE4FZGGTE7HJXN,33.0,2014-12-08 12:25:52.000,462,Zoe,No ,Cosmetics,3,57,0,263.0,13,2006.0,5257.0,3874.264992
SHOE6QGAYFFMBWG6,4.0,2015-09-22 14:29:06.000,23,Koby,Yes,Educational,1,67,0,104.0,15,3596.0,5921.0,4820.9436
KRTEBSMKCGFESHYX,26.0,2016-03-28 21:48:01.000,156,Tiffani,Yes,Child_care,0,53,0,310.0,6,6965.0,10194.0,8837.72424
BRAE3P8Y8UVRY43K,5.0,2015-08-19 22:16:52.000,275,Nigel,Yes,Child_care,0,84,1,321.0,8,1103.0,5430.0,530.7618624
PTPE4JYT3DUYHFTM,16.0,2015-09-25 16:23:34.000,3,Yehoshua,Yes,Cosmetics,0,6,0,247.0,17,1573.0,2915.0,2494.560519
SUDEGGB5GCHTY53K,1.0,2016-03-29 20:00:39.000,268,Juliano,Yes,Repair,2,22,0,274.0,1,3256.0,6033.0,4906.6626
TSHE5YZCKAZYG7MS,39.0,2016-03-29 23:56:12.000,188,Abbi,Yes,Hospitality,0,68,0,253.0,11,2699.0,4909.0,4020.5682
GLSEHPS9CJATDCTY,45.0,2016-03-10 07:40:07.000,186,Kingstyn,Yes,Cosmetics,0,38,1,291.0,17,3657.0,58812.0,4724.948025
KRTECQSZ85P8QKZU,46.0,2016-03-28 21:43:21.000,358,Shia,Yes,Organic,3,39,0,117.0,9,7106.0,18697.0,12997.534725
CRTECN2QYG5PEBZC,15.0,2015-09-25 15:32:44.000,24,,No ,Educational,0,16,0,129.0,10,2915.0,4273.0,3726.217341
SHIEBKMSYJFA9XZT,14.0,2015-09-24 16:28:03.000,1,Arantxa,No ,Fashion,0,74,0,,11,786.0,,2582.8605
NKCE7S69FPFG9S5C,17.0,2015-09-24 17:30:14.000,3,Jaslene,Yes,Educational,0,57,0,120.0,10,1806.0,2510.0,2265.566976
BRAE8WYH2TFGZAQG,14.0,2015-08-19 20:37:05.000,294,Tristin,No ,Hospitality,2,29,0,273.0,9,1876.0,4092.0,3251.540775
NKCE8UUWSCRYZFAD,36.0,2016-02-07 19:34:19.000,456,Elvia,Yes,Hospitality,0,56,0,318.0,8,4184.0,6956.0,5854.748256
ACCDX9Y3MJET7BHY,24.0,2016-03-27 19:15:57.000,137,Freja,Yes,Organic,0,7,1,139.0,7,5821.0,19237.0,1901.32534845
SNDEDNFG7ZNRNAGM,10.0,2015-05-06 16:19:46.000,250,Skyler,Yes,Organic,0,72,0,124.0,6,3801.0,6159.0,5055.9201
FABE9Q5X2QG4P5BW,27.0,2015-10-20 23:32:09.000,451,Yuvraj,No ,Child_care,0,16,0,317.0,16,4757.0,7174.0,6291.410796
NKCECHHZSUD4KNZF,40.0,2015-09-26 16:20:18.000,198,Zahraa,Yes,Repair,0,93,0,215.0,7,3165.0,4178.0,3833.067392
